"","Title","Path","Box","Distrubutor","Release Date","Genre","Runtime","MPAA","Budget","Director"
"805","Good Neighbors","/movies/?id=goodneighbors.htm",7072,"Magnolia","July","Comedy Thriller",98,"R",NA,NA
"806","Plot for Peace","/movies/?id=plotforpeace.htm",7051,"Unknown","October","Documentary",84,"Unrated",NA,NA
"807","The Brainwashing of My Dad","/movies/?id=thebrainwashingofmydad.htm",7028,"JSenko","March","Documentary",90,"Unrated",NA,NA
"808","The Method (El Metodo)","/movies/?id=metodo.htm",7017,"Palm","July","Foreign",115,"Unrated",NA,NA
"809","The Hawk Is Dying","/movies/?id=hawkisdying.htm",7006,"Strand","March","Drama",112,"Unrated",NA,NA
"810","Corman's World","/movies/?id=cormansworld.htm",7000,"Anchor Bay Films","December","Documentary",95,"R",NA,NA
"811","Aristide and Endless Revolution","/movies/?id=aristideandendlessrevolution.htm",6998,"First Run","November","Documentary",84,"Unrated",NA,NA
"812","The Brass Teapot","/movies/?id=brassteapot.htm",6997,"Magnolia","April","Fantasy Comedy",101,"R",NA,NA
"813","Daybreak","/movies/?id=daybreak.htm",6995,"Newmarket","February","Foreign",108,"R",NA,NA
"814","Camden 28","/movies/?id=camden28.htm",6983,"First Run","July","Documentary",90,"Unrated",NA,NA
"815","The Killing of John Lennon","/movies/?id=killingofjohnlennon.htm",6975,"IFC","January","Drama",114,"Unrated",NA,NA
"816","Anamorph","/movies/?id=anamorph.htm",6950,"IFC","April","Drama / Thriller",103,"R",NA,NA
"817","Love, Marilyn","/movies/?id=lovemarilyn.htm",6950,"Submarine Deluxe","November","Documentary",105,"Unrated",NA,NA
"818","Los Angeles Plays Itself","/movies/?id=losangelesplaysitself.htm",6945,"Burton/Floyd","July","Documentary",169,"Unrated",NA,NA
"819","Finding Mr. Right","/movies/?id=findingmrright.htm",6945,"China Lion","November","Foreign",121,"Unrated",NA,NA
"820","Very Good Girls","/movies/?id=verygoodgirls.htm",6940,"Well Go USA","July","Drama",91,"R",NA,NA
"821","Hungry Hearts","/movies/?id=hungryhearts.htm",6921,"IFC","June","Drama",109,"Unrated",NA,"Adam Driver"
"822","Assaulted: Civil Rights Under Fire","/movies/?id=assaulted.htm",6905,"High Top Releasing","June","Documentary",89,"PG-13",NA,NA
"823","Black Irish","/movies/?id=blackirish.htm",6900,"Reel Diva Consultants","October","Drama",93,"R",NA,NA
"824","Boom Bust Boom","/movies/?id=boombustboom.htm",6896,"Brainstorm Media","March","Documentary",74,"Unrated",NA,NA
"825","Sal","/movies/?id=sal.htm",6883,"Tribeca Film","November","Drama",103,"Unrated",NA,"James Franco"
"826","The Human Scale","/movies/?id=humanscale.htm",6878,"KimStim","October","Documentary",83,"Unrated",NA,NA
"827","Pioneer","/movies/?id=pioneer.htm",6871,"Magnolia","December","Thriller",110,"R",NA,NA
"828","The Sisterhood of Night","/movies/?id=sisterhoodofnight.htm",6870,"Freestyle Releasing","April","Drama",103,"PG-13",NA,NA
"829","Last Ride","/movies/?id=lastride12.htm",6853,"Music Box Films","June","Drama",90,"Unrated",NA,NA
"830","My Piece of the Pie","/movies/?id=mypieceofthepie.htm",6850,"IFC","December","Foreign",109,"Unrated",NA,NA
"831","Steve McQueen: The Man & Le Mans","/movies/?id=stevemcqueenmanlemans.htm",6843,"FilmRise","November","Documentary",102,"Unrated",NA,NA
"832","Janie Jones","/movies/?id=janiejones.htm",6840,"Tribeca Film","October","Drama",106,"Unrated",NA,NA
"833","Mad Tiger","/movies/?id=madtiger.htm",6823,"Film Movement","March","Documentary",82,"Not Yet Rated",NA,NA
"834","No God, No Master","/movies/?id=nogodnomaster.htm",6796,"Monterey Media, Inc.","March","Crime Thriller",94,"PG-13",NA,NA
"835","Operation Homecoming","/movies/?id=operationhomecoming.htm",6795,"The Documentary Group","February","Documentary",81,"Unrated",NA,NA
"836","Before You Know It","/movies/?id=beforeyouknow.htm",6717,"The Film Collaborative","May","Documentary",110,"Unrated",NA,NA
"837","Paradise: Hope","/movies/?id=paradisehope.htm",6701,"Strand","December","Foreign",92,"Unrated",NA,NA
"838","London to Brighton","/movies/?id=londontobrighton.htm",6700,"Outsider Films","February","Crime Thriller",85,"Unrated",NA,NA
"839","Will You Still Love Me Tomorrow","/movies/?id=willyoustilllovemetomorrow.htm",6694,"Film Movement","January","Foreign",104,"Unrated",NA,NA
"840","Capture the Flag","/movies/?id=capturetheflag.htm",6690,"Paramount","December","Animation",97,"PG",NA,NA
"841","DarkBlueAlmostBlack","/movies/?id=darkbluealmostblack.htm",6646,"Strand","October","Foreign",105,"Unrated",NA,NA
"842","Ghost Team","/movies/?id=ghostteam.htm",6639,"The Orchard","August","Comedy",83,"PG-13",NA,NA
"843","20 Centimeters","/movies/?id=20centimeters.htm",6635,"TLA Releasing","October","Foreign",113,"Unrated",NA,NA
"844","Breakfast with Curtis","/movies/?id=breakfastwithcurtis.htm",6629,"Abramorama","December","Drama",84,"Unrated",NA,NA
"845","Skid Row","/movies/?id=skidrow.htm",6627,"Screen Media","August","Documentary",80,"R",NA,NA
"846","Take","/movies/?id=take08.htm",6627,"Liberation Entertainment","July","Drama",99,"R",NA,NA
"847","The Dying of the Light","/movies/?id=thedyingofthelight.htm",6627,"First Run","April","Documentary",85,"Unrated",NA,NA
"848","Brief Reunion","/movies/?id=briefreunion.htm",6601,"Striped Entertainment","January","Thriller",88,"Unrated",NA,NA
"849","Aatsinki: The Story of Arctic Cowboys","/movies/?id=aatsinki.htm",6601,"Argot Pictures","January","Documentary",85,"Unrated",NA,NA
"850","One Piece Movie: The Desert Princess and the Pirates Adventures in Alabasta","/movies/?id=onepiecemovie.htm",6587,"The Bigger Picture","February","Animation",90,"PG-13",NA,NA
"851","Down the Shore","/movies/?id=downtheshore.htm",6558,"Anchor Bay Films","April","Drama",93,"R",NA,NA
"852","Master of the Game","/movies/?id=masterofthegame.htm",6554,"Sundance Film Series","November","Unknown",95,"R",NA,NA
"853","Life of a King","/movies/?id=lifeofaking.htm",6547,"Millennium Ent.","January","Drama",101,"PG-13",NA,NA
"854","In Our Nature","/movies/?id=inournature.htm",6543,"Cinedigm Entertainment","December","Drama",103,"Unrated",NA,NA
"855","The Aggressives","/movies/?id=aggressives.htm",6533,"7th Art","October","Documentary",75,"Unrated",NA,NA
"856","We Go Way Back","/movies/?id=wegowayback.htm",6529,"Cyan Pictures","September","Fantasy Drama",80,"Unrated",NA,"Lynn Shelton"
"857","Paradise: Faith","/movies/?id=paradisefaith.htm",6508,"Strand","August","Foreign",115,"Unrated",NA,NA
"858","Horse Money","/movies/?id=horsemoney.htm",6508,"Cinema Guild","July","Drama",103,"Unrated",NA,"Pedro Costa"
"859","The Last Place on Earth","/movies/?id=lastplaceonearth.htm",6505,"Panorama","May","Unknown",396,"PG-13",NA,NA
"860","Jews of Egypt","/movies/?id=jewsofegypt.htm",6505,"Artmattan Prods.","March","Documentary",96,"Unrated",NA,NA
"861","Windfall","/movies/?id=windfall.htm",6504,"First Run","February","Documentary",83,"Unrated",NA,NA
"862","The Beat Hotel","/movies/?id=beathotel.htm",6480,"First Run","March","Documentary",82,"Unrated",NA,NA
"863","Magdalena, The Unholy Saint","/movies/?id=magdalena.htm",6470,"Unico Entertainment","March","Foreign",110,"Unrated",NA,NA
"864","Congo: White King, Red Rubber, Black Death","/movies/?id=whitekingredrubberblackdeath.htm",6458,"Artmattan Prods.","October","Documentary",84,"Unrated",NA,NA
"865","Beyond Honor","/movies/?id=beyondhonor.htm",6437,"International Film Circuit","March","Drama",101,"Unrated",NA,NA
"866","Ek Vivah Aisa Bhi","/movies/?id=ekvivahaisabhi.htm",6437,"Eros","November","Foreign",NA,"Unrated",NA,NA
"867","The Suicide Theory","/movies/?id=suicidetheory.htm",6434,"Freestyle Releasing","July","Drama",98,"R",NA,NA
"868","Blonde Ambition","/movies/?id=blondeambition.htm",6422,"First Look","December","Romantic Comedy",95,"PG-13",NA,NA
"869","Some Velvet Morning","/movies/?id=somevelvetmorning.htm",6420,"Tribeca Film","December","Drama",82,"Unrated",NA,"Neil LaBute"
"870","Dead Man's Shoes","/movies/?id=deadmansshoes.htm",6408,"Magnolia","May","Action Thriller",90,"Unrated",NA,NA
"871","Ten 'til Noon","/movies/?id=tentilnoon.htm",6404,"Radio London Films","March","Crime Thriller",88,"R",NA,NA
"872","The Adventurer: The Curse of the Midas Box","/movies/?id=midasbox.htm",6399,"The Film Arcade","January","Family Adventure",98,"PG",NA,NA
"873","Arabian Nights: Volume 2 - The Desolate One","/movies/?id=arabiannightsvolume2.htm",6398,"Kino Lorber","December","Drama",131,"Unrated",NA,NA
"874","100 Bloody Acres","/movies/?id=100bloodyacres.htm",6388,"Doppelganger Releasing","June","Horror Comedy",NA,"Unrated",NA,NA
"875","Dreamland","/movies/?id=dreamland.htm",6383,"Truly Indie","December","Drama",88,"PG-13",NA,NA
"876","I Melt With You","/movies/?id=imeltwithyou.htm",6361,"Magnolia","December","Thriller",116,"R",NA,"Mark Pellington"
"877","Inescapable","/movies/?id=inescapable.htm",6334,"IFC","February","Thriller",93,"R",NA,NA
"878","Alleluia","/movies/?id=alleluia.htm",6334,"Music Box Films","July","Thriller",93,"Unrated",NA,NA
"879","The Charnel House","/movies/?id=thecharnelhouse.htm",6332,"Freestyle Releasing","November","Thriller",92,"R",NA,NA
"880","Chillar Party","/movies/?id=chillarparty.htm",6330,"UTV Communications","July","Foreign",130,"Unrated",NA,NA
"881","My Joy","/movies/?id=myjoy.htm",6298,"Kino Lorber","September","Foreign",NA,"Unrated",NA,NA
"882","Manuscripts Don't Burn","/movies/?id=manuscriptsdontburn.htm",6295,"Kino Lorber","July","Foreign",125,"Unrated",NA,NA
"883","Solitude","/movies/?id=solitude.htm",6260,"Indican","January","Drama",99,"Unrated",NA,NA
"884","Tonight You're Mine","/movies/?id=tonightyouremine.htm",6255,"Roadside Attractions","May","Comedy",80,"R",NA,NA
"885","The Bad Kids","/movies/?id=thebadkids.htm",6226,"FilmRise","December","Documentary",101,"Unrated",NA,NA
"886","The Carer","/movies/?id=thecarer.htm",6208,"Corinth Films","September","Comedy",89,"Unrated",NA,NA
"887","The Night of the Shooting Stars (Re-issue)","/movies/?id=thenightoftheshootingstars2015.htm",6186,"Cohen Media Group","August","Drama",105,"R",NA,NA
"888","Times and Winds","/movies/?id=timesandwinds.htm",6176,"Kino","January","Foreign",111,"Unrated",NA,NA
"889","Sweetwater","/movies/?id=sweetwater.htm",6147,"Unknown","October","Western",95,"R",NA,NA
"890","Crazy Eyes","/movies/?id=crazyeyes.htm",6141,"Strand","July","Comedy",95,"Unrated",NA,NA
"891","It's All About Love","/movies/?id=itsallaboutlove.htm",6140,"Strand","October","Unknown",104,"R",NA,NA
"892","Guitar Innovators: John Fahey & Nels Cline","/movies/?id=guitarinnovators.htm",6132,"First Run","August","Documentary",84,"Unrated",NA,NA
"893","El Sicario, Room 164","/movies/?id=elsicario.htm",6123,"Icarus Films","December","Foreign",80,"Unrated",NA,NA
"894","Welcome to Pine Hill","/movies/?id=welcometopinehill.htm",6115,"Oscilloscope Pictures","March","Drama",81,"Unrated",NA,NA
"895","Rangrezz","/movies/?id=rangrezz.htm",6108,"UTV Communications","March","Foreign",140,"Unrated",NA,NA
"896","The Last Fall","/movies/?id=lastfall.htm",6100,"Transparent/Outerstratosphere","October","Drama",NA,"Unrated",NA,NA
"897","The Last Time I Saw Macao","/movies/?id=lasttimeisawmacao.htm",6095,"Cinema Guild","September","Foreign",85,"Unrated",NA,NA
"898","Barely Lethal","/movies/?id=barelylethal.htm",6075,"A24","April","Action / Adventure",96,"PG-13",NA,"Kyle Newman"
"899","The Miners' Hymns","/movies/?id=minershymns.htm",6051,"Icarus Films","February","Drama",NA,"Unrated",NA,NA
"900","Tip Top","/movies/?id=tiptop.htm",6050,"Kino Lorber","December","Foreign",106,"Unrated",NA,NA
"901","Marquise of O","/movies/?id=marquiseofo.htm",6048,"Film Movement","March","Foreign",102,"PG",NA,NA
"902","Love and Air Sex","/movies/?id=loveandairsex.htm",6047,"Tribeca Film","February","Comedy",95,"Unrated",NA,NA
"903","The Family Tree","/movies/?id=thefamilytree.htm",6035,"Entertainment One","August","Comedy / Drama",87,"Unrated",NA,NA
"904","Love Object","/movies/?id=loveobject.htm",6028,"Vitagraph","February","Unknown",90,"R",NA,NA
"905","Tekkon Kinkreet","/movies/?id=tekkonkinkreet.htm",6000,"Sony Pictures Home Ent.","July","Animation",100,"R",NA,NA
"906","Las Acacias","/movies/?id=lasacacias.htm",6000,"Outsider Films","September","Foreign",82,"Unrated",NA,NA
"907","Sex, Death and Bowling","/movies/?id=sexdeathandbowling.htm",5972,"Monterey Media, Inc.","October","Comedy / Drama",96,"R",NA,NA
"908","The Playroom","/movies/?id=playroom.htm",5964,"Freestyle Releasing","April","Drama",NA,"Unrated",NA,NA
"909","Cavemen","/movies/?id=cavemen.htm",5948,"Well Go USA","February","Romantic Comedy",87,"R",NA,NA
"910","American Animal","/movies/?id=americananimal.htm",5928,"Screen Media","May","Comedy / Drama",95,"R",NA,NA
"911","Gabriel","/movies/?id=gabriel.htm",5917,"Oscilloscope Pictures","June","Drama / Thriller",85,"Unrated",NA,NA
"912","Gang of Ghosts","/movies/?id=gangofghosts.htm",5906,"Eros","March","Foreign",NA,"Unrated",NA,NA
"913","Slash","/movies/?id=slash16.htm",5902,"Boxcar","December","Sci-Fi Comedy",100,"Unrated",NA,NA
"914","Medeas","/movies/?id=medeas.htm",5895,"The Vladar Company","January","Drama",97,"Unrated",NA,NA
"915","The Strange Little Cat","/movies/?id=strangelittlecat.htm",5885,"KimStim","August","Foreign",72,"Unrated",NA,NA
"916","The Imperialists Are Still Alive!","/movies/?id=imperialists.htm",5874,"IFC","April","Drama",90,"Unrated",NA,NA
"917","A Bottle in the Gaza Sea","/movies/?id=abottleinthegazasea.htm",5872,"Film Movement","January","Foreign",100,"Unrated",NA,NA
"918","Buzzkill","/movies/?id=buzzkill.htm",5860,"Indican","January","Comedy",NA,"Unrated",NA,NA
"919","Top Spin","/movies/?id=topspin.htm",5858,"First Run","August","Documentary",80,"Unrated",NA,NA
"920","Bourek","/movies/?id=bourek.htm",5844,"Argot Pictures","April","Comedy",90,"Unrated",NA,NA
"921","Shout Gladi Gladi","/movies/?id=shoutgladigladi.htm",5839,"International Film Circuit","October","Documentary",79,"Unrated",NA,NA
"922","2 Autumns, 3 Winters","/movies/?id=2autumns.htm",5819,"Film Movement","June","Foreign",91,"Unrated",NA,NA
"923","Emile","/movies/?id=emile.htm",5799,"Castle Hill","February","Drama",95,"Unrated",NA,NA
"924","Choose Connor","/movies/?id=chooseconnor.htm",5788,"Strand","October","Drama",114,"Unrated",NA,NA
"925","Five Dances","/movies/?id=fivedances.htm",5788,"Paladin","October","Drama",83,"Unrated",NA,NA
"926","Black November","/movies/?id=blacknovember.htm",5782,"Phase 4","January","Drama",96,"Unrated",NA,"Jeta Amata"
"927","Undrafted","/movies/?id=undrafted.htm",5777,"Independent","July","Comedy / Drama",100,"Unrated",NA,"Joe Mazzello"
"928","Sushi: The Global Catch","/movies/?id=sushi.htm",5757,"Alive Mind Cinema","August","Documentary",75,"Unrated",NA,NA
"929","A Dark Truth","/movies/?id=adarktruth.htm",5750,"Magnolia","January","Action Thriller",106,"R",NA,NA
"930","The Devil's Hand","/movies/?id=devilshand.htm",5746,"Roadside Attractions","October","Horror",86,"PG-13",NA,NA
"931","Jailbait","/movies/?id=jailbait.htm",5741,"Kindred Media Group","August","Drama",88,"R",NA,NA
"932","Sueno","/movies/?id=sueno.htm",5729,"Sony Pictures Home Ent.","September","Comedy / Drama",108,"PG-13",NA,NA
"933","Klezmer on Fish Street","/movies/?id=klezmeronfishstreet.htm",5724,"Castle Hill","April","Unknown",85,"Unrated",NA,NA
"934","Save the Date","/movies/?id=savethedate.htm",5719,"IFC","December","Romantic Comedy",97,"R",NA,NA
"935","Pizza","/movies/?id=pizza.htm",5716,"IFC","January","Comedy",80,"PG-13",NA,NA
"936","Fraulein","/movies/?id=fraulein.htm",5715,"Film Movement","September","Foreign",81,"Unrated",NA,NA
"937","Mr. Blue Sky","/movies/?id=mrbluesky.htm",5713,"Rocky Mountain Pictures","November","Drama",NA,"Unrated",NA,NA
"938","Klown Forever","/movies/?id=klownforever.htm",5700,"Drafthouse","September","Comedy",99,"Not Yet Rated",NA,NA
"939","The Wanted 18","/movies/?id=thewanted18.htm",5680,"Kino Lorber","June","Documentary",75,"Unrated",NA,NA
"940","Aurora","/movies/?id=aurora.htm",5677,"Cinema Guild","June","Foreign",181,"Unrated",NA,NA
"941","People of a Feather","/movies/?id=peopleofafeather.htm",5677,"First Run","November","Documentary",90,"Unrated",NA,NA
"942","Death Defying Acts","/movies/?id=deathdefyingacts.htm",5665,"Third Rail Releasing","July","Period Drama",97,"Unrated",NA,"Gillian Armstrong"
"943","Tu Dors Nicole","/movies/?id=tudorsnicole.htm",5662,"Kino","May","Comedy / Drama",93,"Unrated",NA,NA
"944","Fired!","/movies/?id=fired.htm",5661,"International Film Circuit","February","Documentary",71,"Unrated",NA,NA
"945","Knife Fight","/movies/?id=knifefight.htm",5661,"IFC","January","Drama",98,"R",NA,NA
"946","Papirosen","/movies/?id=papirosen.htm",5658,"Film Movement","January","Documentary",74,"Unrated",NA,NA
"947","This Isn't Funny","/movies/?id=thisisntfunny.htm",5654,"Candy Factory","November","Comedy / Drama",86,"Unrated",NA,NA
"948","The Roost","/movies/?id=roost.htm",5642,"Vitagraph","October","Horror",80,"Unrated",NA,"Ti West"
"949","The Amazing Truth About Queen Raquela","/movies/?id=amazingtruthaboutqueenraquela.htm",5597,"Regent Releasing","September","Foreign",85,"R",NA,NA
"950","Rage (Rabia)","/movies/?id=ragerabia.htm",5594,"Strand","January","Foreign",89,"Unrated",NA,NA
"951","Chic!","/movies/?id=chic.htm",5587,"Distrib Films","May","Comedy",103,"Unrated",NA,NA
"952","Elevate","/movies/?id=elevate.htm",5580,"Variance Films","October","Documentary",81,"PG",NA,NA
"953","Our Man in Tehran","/movies/?id=onemanintehran.htm",5573,"First Run","May","Documentary",85,"Unrated",NA,NA
"954","Kid Cannabis","/movies/?id=kidcannabis.htm",5565,"Well Go USA","April","Drama",105,"Unrated",NA,NA
"955","Bookers Place","/movies/?id=bookersplace.htm",5549,"Tribeca Film","April","Documentary",90,"Unrated",NA,NA
"956","Gabrielle (2014)","/movies/?id=gabrielle2014.htm",5534,"Entertainment One","April","Foreign",104,"R",NA,NA
"957","Young and Wild","/movies/?id=youngandwild.htm",5514,"IFC","November","Foreign",96,"Unrated",NA,NA
"958","The Living","/movies/?id=living2015.htm",5514,"Monterey Media, Inc.","April","Thriller",91,"R",NA,NA
"959","Choking Man","/movies/?id=chokingman.htm",5474,"International Film Circuit","November","Drama",82,"Unrated",NA,NA
"960","Streets of Legend","/movies/?id=streetsoflegend.htm",5471,"Lions Gate","November","Action / Crime",92,"R",NA,NA
"961","Race You to the Bottom","/movies/?id=raceyoutothebottom.htm",5468,"Regent Releasing","March","Romance",75,"R",NA,NA
"962","Universal Soldier: Day of Reckoning","/movies/?id=universalsoldier2012.htm",5460,"Magnolia","November","Sci-Fi Action",114,"R",NA,NA
"963","Nights and Weekends","/movies/?id=nightsandweekends.htm",5430,"IFC","October","Drama",80,"Unrated",NA,"Greta Gerwig"
"964","Fratricide","/movies/?id=fratricide.htm",5428,"Koch Lorber Films","February","Foreign",96,"Unrated",NA,NA
"965","Unnatural and Accidental","/movies/?id=unnaturalandaccidental.htm",5420,"Alliance","December","Drama / Thriller",90,"Unrated",NA,"Carl Bessai"
"966","Flex is Kings","/movies/?id=flexiskings.htm",5418,"Baxter Bros.","April","Documentary",83,"Unrated",NA,NA
"967","Whiz Kids","/movies/?id=whizkids.htm",5386,"Shadow Dist.","June","Documentary",82,"Unrated",NA,NA
"968","The Only Real Game","/movies/?id=onlyrealgame.htm",5384,"The Only Real Game Movie","March","Documentary",82,"Unrated",NA,NA
"969","The Glamorous Life of Sachiko Hanai","/movies/?id=glamorouslifeofsachikohanai.htm",5383,"Palm","April","Foreign",90,"Unrated",NA,NA
"970","Dog Days of Summer","/movies/?id=dogdaysofsummer.htm",5383,"Mountain Top Releasing","April","Drama / Thriller",89,"Unrated",NA,NA
"971","Say Uncle","/movies/?id=sayuncle.htm",5361,"TLA Releasing","June","Comedy / Drama",91,"R",NA,NA
"972","Particles of Truth","/movies/?id=particlesoftruth.htm",5348,"Dada Films","September","Unknown",101,"R",NA,NA
"973","Rock the Bells","/movies/?id=rockthebells.htm",5347,"7th Art","April","Documentary",103,"Unrated",NA,NA
"974","Hair High","/movies/?id=hairhigh.htm",5342,"Bill Plympton","August","Animation",78,"Unrated",NA,NA
"975","Far from Men","/movies/?id=farfrommen.htm",5336,"Tribeca Film","May","Foreign",101,"Unrated",NA,NA
"976","She's Lost Control","/movies/?id=sheslostcontrol.htm",5319,"Monument Releasing","March","Drama",90,"Unrated",NA,NA
"977","Heartbeat Detector","/movies/?id=heartbeatdetector.htm",5309,"New Yorker","March","Foreign",143,"Unrated",NA,NA
"978","The Guillotines","/movies/?id=guillotines.htm",5290,"Well Go USA","June","Foreign",113,"R",NA,NA
"979","The Time Being","/movies/?id=timebeing.htm",5274,"Tribeca Film","July","Drama",85,"Unrated",NA,NA
"980","From Mayerling to Sarajevo (2015 re-issue)","/movies/?id=frommayerlingtosarajevo.htm",5247,"The Film Desk","March","Foreign",89,"Unrated",NA,NA
"981","Land of the Blind","/movies/?id=landoftheblind.htm",5244,"Bauer Martinez Distribution","June","Drama",101,"R",NA,NA
"982","Speed-Dating","/movies/?id=speeddating.htm",5240,"Rockstone Releasing","June","Comedy",98,"R",NA,NA
"983","The Dead Lands","/movies/?id=deadlands.htm",5240,"Magnolia","April","Action",107,"R",NA,NA
"984","Room","/movies/?id=room.htm",5228,"The 7th Floor","April","Drama",74,"Unrated",NA,"Kyle Henry"
"985","The Princess of France","/movies/?id=theprincessoffrance.htm",5212,"Cinema Guild","June","Drama",67,"Unrated",NA,NA
"986","Death Valley","/movies/?id=deathvalley.htm",5211,"Indican","October","Thriller",88,"Unrated",NA,NA
"987","The Good Doctor","/movies/?id=gooddoctor.htm",5206,"Magnolia","August","Thriller",90,"PG-13",NA,NA
"988","A Lawyer Walks Into a Bar...","/movies/?id=lawyerwalksintoabar.htm",5202,"Indican","February","Documentary",92,"Unrated",NA,NA
"989","King Leopold's Ghost","/movies/?id=kingleopoldsghost.htm",5194,"Aloha Releasing","August","Documentary",108,"PG-13",NA,NA
"990","Bright Future","/movies/?id=brightfuture.htm",5166,"Palm","November","Foreign",92,"Unrated",NA,NA
"991","And They're Off","/movies/?id=andtheyreoff.htm",5154,"Kinobild Releasing","October","Comedy",90,"PG-13",NA,NA
"992","Flash Point","/movies/?id=flashpoint08.htm",5151,"Third Rail Releasing","March","Foreign / Action",88,"R",NA,NA
"993","Turn the River","/movies/?id=turntheriver.htm",5149,"Screen Media","May","Drama",92,"R",NA,NA
"994","Whore","/movies/?id=whore04.htm",5130,"Screen Media","December","Unknown",87,"R",NA,NA
"995","Return to Nuke 'Em High Volume 1","/movies/?id=nukeem1.htm",5122,"Anchor Bay Films","January","Horror Comedy",85,"Unrated",NA,NA
"996","The Inner Life of Martin Frost","/movies/?id=innerlifeofmartinfrost.htm",5114,"New Yorker","September","Fantasy Drama",94,"Unrated",NA,NA
"997","Liar's Autobiography","/movies/?id=liarsautobiography.htm",5102,"Brainstorm Media","November","Animation",85,"Unrated",NA,NA
"998","God and Gays: Bridging the Gap","/movies/?id=godandgays.htm",5095,"Indican","October","Documentary",NA,"Unrated",NA,NA
"999","On War","/movies/?id=onwar.htm",5086,"Indican","November","Comedy / Drama",130,"Unrated",NA,NA
"1000","Welcome to Happiness","/movies/?id=welcometohappiness.htm",5083,"Orion Pictures","May","Fantasy Comedy",108,"PG-13",NA,NA
"1001","Poisoned by Polonium: The Litvinenko File","/movies/?id=poisonedbypolonium.htm",5080,"Kino","March","Documentary",105,"Unrated",NA,NA
"1002","Bidder 70","/movies/?id=bidder70.htm",5074,"First Run","May","Documentary",73,"Unrated",NA,NA
"1003","Tanner Hall","/movies/?id=tannerhall.htm",5073,"Anchor Bay Films","September","Drama",NA,"R",NA,NA
"1004","Flypaper","/movies/?id=flypaper.htm",5043,"IFC","August","Crime Comedy",87,"Unrated",NA,"Rob Minkoff"
"1005","Sleepwalker","/movies/?id=sleepwalker2014.htm",5012,"IFC","November","Horror",100,"Unrated",NA,NA
"1006","Downtown Express","/movies/?id=downtownexpress.htm",5010,"International Film Circuit","April","Drama",90,"Unrated",NA,NA
"1007","Hadewijch","/movies/?id=hadewijch.htm",5006,"IFC","December","Drama",105,"Unrated",NA,NA
"1008","A Perfect Day","/movies/?id=aperfectday.htm",5002,"IFC","January","Drama",106,"R",NA,NA
"1009","Bringing Up Bobby","/movies/?id=bringingupbobby.htm",4975,"Monterey Media, Inc.","September","Family Comedy",95,"PG-13",NA,"Famke Janssen"
"1010","Nuclear Nation","/movies/?id=nuclearnation.htm",4960,"First Run","December","Documentary",145,"Unrated",NA,NA
"1011","Herman's House","/movies/?id=hermanshouse.htm",4956,"First Run","April","Documentary",81,"Unrated",NA,NA
"1012","SBK The-Movie","/movies/?id=sbkthemovie.htm",4950,"Hanover Multimedia","April","Comedy",84,"PG-13",NA,NA
"1013","Tomorrow When the War Began","/movies/?id=warbegan.htm",4936,"Freestyle Releasing","February","Action / Adventure",103,"R",NA,"Stuart Beattie"
"1014","Peace, Propaganda and the Promised Land","/movies/?id=peacepropaganda.htm",4930,"Arab Film Dist.","January","Documentary",75,"Unrated",NA,NA
"1015","Supporting Characters","/movies/?id=supportingcharacters.htm",4917,"Tribeca Film","January","Comedy",87,"Unrated",NA,NA
"1016","Gerontophilia","/movies/?id=gerontophilia.htm",4916,"Strand","May","Comedy / Drama",82,"Unrated",NA,NA
"1017","Guidance","/movies/?id=guidance.htm",4900,"Strand","August","Comedy",81,"Unrated",NA,"Pat Mills"
"1018","Everything's Cool","/movies/?id=everythingscool.htm",4890,"City Lights Pictures Releasing","November","Documentary",89,"Unrated",NA,NA
"1019","Brake","/movies/?id=brake.htm",4876,"IFC","March","Thriller",91,"R",NA,NA
"1020","Home of the Brave (2004)","/movies/?id=homeofthebrave.htm",4874,"Emerging Pictures","October","Documentary",157,"Unrated",NA,NA
"1021","Revelation Road 2","/movies/?id=revelationroad2.htm",4871,"Freestyle Releasing","July","Action",NA,"Unrated",NA,NA
"1022","Nothing Bad Can Happen","/movies/?id=nothingbadcanhappen.htm",4870,"Drafthouse","June","Foreign",105,"Unrated",NA,NA
"1023","Call Her Applebroog","/movies/?id=callherapplebroog.htm",4842,"Zeitgeist","June","Documentary",70,"Unrated",NA,NA
"1024","Burke and Hare","/movies/?id=burkeandhare.htm",4833,"IFC","September","Comedy",92,"R",NA,"John Landis"
"1025","A Man Vanishes (2012 re-release)","/movies/?id=amanvanishes2012.htm",4829,"Icarus Films","November","Documentary",130,"Unrated",NA,NA
"1026","What the Snow Brings","/movies/?id=whatthesnowbrings.htm",4816,"Eleven Arts","June","Foreign",112,"Unrated",NA,NA
"1027","Ferlinghetti: The Rebirth of Wonder","/movies/?id=ferlinghetti.htm",4816,"First Run","February","Documentary",73,"Unrated",NA,NA
"1028","The Pusher Trilogy","/movies/?id=pushertrilogy.htm",4815,"Magnolia","August","Foreign / Action",318,"Unrated",NA,NA
"1029","The Oxford Murders","/movies/?id=oxfordmurders.htm",4803,"Magnolia","August","Crime Thriller",108,"R",NA,NA
"1030","50 Ways of Saying Fabulous","/movies/?id=50waysofsayingfabulous.htm",4800,"Olive Films","June","Drama",90,"Unrated",NA,NA
